                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.61365,                0.55665,                0.95271,                0.72602,                0.75897,                0.78451,                0.49953,                 1.3823,                 1.2618,                 1.5634,              0.0013724,              0.0013724,              0.0013724
                    122,                0.55312,                0.51137,                0.92515,                0.76953,                0.82323,                0.84985,                0.52163,                 1.3524,                 1.2006,                 1.5352,              0.0013719,              0.0013719,              0.0013719
                    123,                0.62888,                0.57329,                0.98236,                0.84715,                0.74651,                0.86144,                0.55787,                 1.3505,                 1.2117,                 1.4934,              0.0013715,              0.0013715,              0.0013715
                    124,                0.60237,                0.56625,                0.94279,                0.91661,                0.69507,                0.86213,                 0.5429,                 1.3892,                 1.2368,                 1.5347,               0.001371,               0.001371,               0.001371
                    125,                0.56137,                0.52038,                0.92614,                 0.8661,                0.73945,                0.81365,                0.51166,                 1.3681,                   1.39,                 1.5434,              0.0013705,              0.0013705,              0.0013705
                    126,                0.57276,                0.53231,                0.94794,                0.80702,                0.76045,                0.79291,                 0.5105,                 1.3475,                 1.4164,                 1.5666,              0.0013701,              0.0013701,              0.0013701
                    127,                0.62266,                0.54058,                0.96468,                0.75133,                0.78874,                0.80476,                0.53348,                 1.3245,                 1.3736,                 1.5014,              0.0013696,              0.0013696,              0.0013696
                    128,                0.57986,                0.52083,                0.95782,                0.74601,                0.74902,                0.80549,                0.56589,                 1.3302,                 1.2591,                 1.5464,              0.0013691,              0.0013691,              0.0013691
                    129,                0.55586,                0.52075,                0.94198,                0.84426,                0.77693,                0.86933,                0.59509,                 1.2811,                 1.1856,                 1.5578,              0.0013686,              0.0013686,              0.0013686
                    130,                0.58554,                0.53988,                0.95466,                0.84103,                0.76774,                0.85596,                  0.603,                 1.3118,                 1.1972,                 1.5996,              0.0013682,              0.0013682,              0.0013682
                    131,                0.59466,                0.50291,                0.95777,                0.72335,                0.79815,                0.83118,                0.57515,                 1.3748,                 1.1111,                 1.7003,              0.0013677,              0.0013677,              0.0013677
                    132,                0.59054,                0.51213,                0.93608,                0.72806,                0.78782,                 0.8027,                0.54194,                 1.4108,                 1.0932,                 1.7459,              0.0013672,              0.0013672,              0.0013672
                    133,                0.57055,                0.51143,                0.93079,                0.75656,                 0.7037,                0.80887,                0.49106,                 1.4824,                 1.1724,                 1.7953,              0.0013668,              0.0013668,              0.0013668
                    134,                0.57335,                0.49514,                0.93851,                0.64985,                0.83739,                0.77838,                0.49455,                 1.4423,                 1.1623,                  1.785,              0.0013663,              0.0013663,              0.0013663
                    135,                0.61717,                0.53488,                 0.9473,                0.75803,                0.76776,                0.81063,                0.50825,                 1.4199,                 1.1377,                 1.7626,              0.0013658,              0.0013658,              0.0013658
                    136,                0.59542,                0.55222,                0.95409,                0.79129,                0.79507,                0.81667,                0.54953,                 1.4124,                  1.102,                 1.7922,              0.0013653,              0.0013653,              0.0013653
                    137,                0.57307,                0.54279,                0.94057,                0.62493,                0.91455,                0.82621,                0.53447,                 1.3069,                 1.1017,                 1.6586,              0.0013649,              0.0013649,              0.0013649
                    138,                0.58437,                0.52243,                 0.9742,                0.81032,                 0.6231,                0.82113,                0.51756,                 1.3384,                 1.0873,                 1.6862,              0.0013644,              0.0013644,              0.0013644
                    139,                0.56029,                0.48212,                 0.9358,                0.72683,                0.69158,                0.74856,                0.45586,                 1.3773,                 1.1601,                 1.7229,              0.0013639,              0.0013639,              0.0013639
                    140,                0.54469,                0.49685,                0.93359,                0.77819,                0.70967,                0.80778,                0.49308,                 1.4611,                 1.0654,                 1.7761,              0.0013635,              0.0013635,              0.0013635
